Span,Beta4,W4,Alpha4,V4,Pitch4,Loss,StageTT,StageTS,RotorTT,RotorTS,Cske,beta_dev,Hske,Vdotalpha,Wdotbeta
2.5,1.1954,51.847,0.621,23.4358,0.0046,0.0953,0,0,0.76853,0.69792,0.0305,0,568247.9305,0,0
5.8333,1.2081,54.01,0.6779,24.6231,0.0081,0.0245,0,0,0.77764,0.69864,0.0613,0,1492096.4017,0,0
9.1667,1.2417,55.2079,0.753,24.4536,0.01,0.0364,0,0,0.77751,0.69949,0.1083,0,2846648.5405,0,0
12.5,1.2767,55.7408,0.8207,23.7038,0.0121,0.0468,0,0,0.77344,0.70043,0.1522,0,4346105.6911,0,0
15.8333,1.3132,56.0744,0.8929,22.7738,0.0137,0.0443,0,0,0.76843,0.70141,0.1986,0,5496455.5522,0,0
19.1667,1.3428,56.4224,0.9542,22.0527,0.0138,0.0395,0,0,0.76496,0.70241,0.2383,0,4118981.0013,0,0
22.5,1.3459,56.0664,0.9421,21.2684,0.0075,0.0601,0,0,0.76132,0.70337,0.2119,0,2307049.9801,0,0
25.8333,1.313,55.1452,0.8306,20.8451,-0.0042,0.1028,0,0,0.76012,0.70419,0.124,0,3570201.0445,0,0
29.1667,1.2628,54.4479,0.6843,21.3093,-0.0117,0.1356,0,0,0.76376,0.70484,0.0486,0,1685970.1066,0,0
32.5,1.204,54.2114,0.5422,22.7072,-0.0137,0.1538,0,0,0.77295,0.70533,0.0072,0,275576.454,0,0
35.8333,1.1433,54.4127,0.4222,24.7566,-0.0115,0.1571,0,0,0.78725,0.70567,0.0018,0,68257.2112,0,0
39.1667,1.0923,54.6714,0.33,26.6731,-0.0067,0.1579,0,0,0.80228,0.70587,0.0265,0,624911.2957,0,0
42.5,1.071,54.3163,0.2709,27.1299,-0.0024,0.1817,0,0,0.80656,0.70598,0.0575,0,53434.704,0,0
45.8333,1.0735,53.9204,0.246,26.6446,-0.0004,0.2065,0,0,0.80262,0.706,0.0707,0,574380.4349,0,0
49.1667,1.084,54.1588,0.2493,26.2628,-0.0005,0.2106,0,0,0.79948,0.70605,0.0666,0,645007.3762,0,0
52.5,1.0926,55.0035,0.2677,26.3512,-0.0019,0.1939,0,0,0.80026,0.70625,0.056,0,389154.3549,0,0
55.8333,1.0965,56.267,0.2912,26.9222,-0.0032,0.1611,0,0,0.80535,0.70661,0.0453,0,225886.53,0,0
59.1667,1.1008,57.3756,0.3097,27.3912,-0.0027,0.1325,0,0,0.81012,0.70698,0.0373,0,322436.97,0,0
62.5,1.1137,57.6042,0.317,26.8897,0.0003,0.1359,0,0,0.80666,0.70717,0.0325,0,572102.0308,0,0
65.8333,1.1365,57.3036,0.3254,25.5935,0.0038,0.1596,0,0,0.79643,0.70725,0.0262,0,590181.6809,0,0
69.1667,1.1637,57.2962,0.3499,24.2935,0.0061,0.1735,0,0,0.78671,0.7074,0.0158,0,354365.7753,0,0
72.5,1.1868,57.4772,0.3735,23.3059,0.0067,0.1813,0,0,0.77979,0.70759,0.009,0,162176.6066,0,0
75.8333,1.1973,57.3581,0.3642,22.6647,0.0054,0.1993,0,0,0.77521,0.7076,0.0105,0,76360.1241,0,0
79.1667,1.1945,56.8423,0.317,22.3614,0.002,0.2257,0,0,0.77243,0.70733,0.0225,0,29931.9979,0,0
82.5,1.181,56.467,0.2604,22.6378,-0.0026,0.2354,0,0,0.77347,0.70698,0.0445,0,237837.6962,0,0
85.8333,1.1618,56.771,0.2255,23.563,-0.0064,0.215,0,0,0.77945,0.70688,0.0661,0,484587.3237,0,0
89.1667,1.146,57.8417,0.2244,24.7614,-0.0084,0.1795,0,0,0.78842,0.70727,0.0736,0,113916.5715,0,0
92.5,1.1396,59.524,0.2546,25.8979,-0.0079,0.1472,0,0,0.79804,0.70817,0.0615,0,409589.3015,0,0
95.8333,1.1505,61.4785,0.3139,26.4592,-0.0057,0.1295,0,0,0.80382,0.70927,0.0329,0,797470.5668,0,0
99.1667,1.195,62.5223,0.3976,24.9333,-0.003,0.1125,0,0,0.7954,0.70997,0.0054,0,518626.1214,0,0
