133.1889205	32.44708452	22.72059357
133.5354334	30.99468917	22.63607138
133.8793593	29.47855292	22.12409086
134.2069529	27.95492696	21.62334392
134.5174593	26.42689401	21.12514093
134.8105185	24.89614046	20.62472761
135.0859013	23.36416881	20.11804335
135.343796	21.83022525	19.60813009
135.5843489	20.29357098	19.09789984
135.8073772	18.75547821	18.58406246
136.0127415	17.21729772	18.06317257
136.2003475	15.68045075	17.53175721
136.3704323	14.14384091	16.99379106
136.5231881	12.60633703	16.45319421
136.6583273	11.07155261	15.90033133
136.7757017	9.54322786	15.32597488
136.8753072	8.025279372	14.7215536
136.957568	6.516884145	14.09113263
137.0228147	5.018565627	13.43522269
137.0713124	3.532979257	12.74959434
137.1033996	2.063688812	12.02880762
137.1195898	0.611295943	11.27403316
137.1204165	-0.821776262	10.48305374
137.1065235	-2.230845376	9.650217561
137.0787578	-3.609381304	8.768147948
137.0381783	-4.951677851	7.83231271
136.9859709	-6.253862178	6.842034206
136.9237342	-7.505681578	5.789388531
136.8530668	-8.702868429	4.675568374
136.7766371	-9.825804278	3.487513993
136.6981546	-10.84813804	2.212080493
136.6207728	-11.75885806	0.854796437
136.54959	-12.52462143	-0.589226404
136.4891558	-13.12319476	-2.11059404
136.4444217	-13.52706052	-3.695021321
136.4190512	-13.71911915	-5.319195278
136.4168862	-13.67283591	-6.953843348
136.4389703	-13.38063479	-8.562339709
136.4868457	-12.81578472	-10.09603512
136.5550013	-12.01341529	-11.51926552
136.6371801	-11.01011023	-12.80842717
136.7263455	-9.851988272	-13.9604823
136.8167421	-8.574587831	-14.978983
136.9036745	-7.206634663	-15.87268418
136.9836854	-5.767180888	-16.64723565
137.0537968	-4.281989368	-17.33147486
137.1123076	-2.765801174	-17.94539545
137.1570399	-1.226929173	-18.50132767
137.1842585	0.329659247	-19.00675367
137.1892998	1.927682643	-19.27058755
137.1704177	3.355498139	-18.53626518
133.1718649	32.44153692	22.72082519
133.3187741	31.83046781	21.88573836
133.5718707	30.75081236	21.39426931
133.8152755	29.67326807	20.89319598
134.0499636	28.59390528	20.39186513
134.2757391	27.5136952	19.88827204
134.4924765	26.43340713	19.38089234
134.7001507	25.3534022	18.86913572
134.8990455	24.27239375	18.35601139
135.0891216	23.19069937	17.84099443
135.2702724	22.10908824	17.3225979
135.4424195	21.02829416	16.79945081
135.6055034	19.94909346	16.27015245
135.7595759	18.87163431	15.73463648
135.9048818	17.79461657	15.19579214
136.0413134	16.71917716	14.65150572
136.168776	15.64668573	14.09929006
136.2871971	14.57870247	13.53643449
136.3965192	13.51708619	12.9598573
136.4971934	12.45881557	12.37559823
136.5892738	11.40441971	11.78298253
136.6725651	10.35785738	11.17539089
136.7469171	9.324090624	10.54519362
136.8122781	8.308875938	9.884591335
136.8693871	7.306826932	9.203389528
136.9183754	6.321482459	8.497689907
136.9591058	5.364828732	7.753177907
136.9915554	4.455229373	6.951701847
137.0165071	3.598744929	6.093329242
137.0348762	2.799902621	5.180996254
137.0474732	2.072066874	4.211080436
137.0552894	1.430560796	3.182081291
137.0595328	0.884353326	2.0994388
137.0614292	0.432211161	0.974181155
137.0620075	0.079157713	-0.18587669
137.0621716	-0.167633364	-1.373141143
137.0626363	-0.312291879	-2.57712666
137.063923	-0.347923387	-3.789260494
137.0662493	-0.289892122	-5.000661541
137.0696532	-0.145630868	-6.204758375
137.0740445	0.082850361	-7.395875311
137.0791738	0.374061739	-8.573300971
137.0848236	0.727205155	-9.733619971
137.0907712	1.139837952	-10.87416461
137.0968421	1.605742098	-11.99402321
137.1028033	2.122515509	-13.09133428
137.1081885	2.689195436	-14.16372647
137.1124452	3.303737611	-15.20943837
137.1166703	3.875369307	-16.27448294
137.1301431	3.919389379	-17.47258531
137.1528716	3.362484068	-18.53547547
137.1704177	3.355498139	-18.53626518
137.1528716	3.362484068	-18.53547547
