51	1
133.1889205	32.44708452	22.72059357
133.5354334	30.99468917	22.63607138
133.8793593	29.47855292	22.12409086
134.2069529	27.95492696	21.62334392
134.5174593	26.42689401	21.12514093
134.8105185	24.89614046	20.62472761
135.0859013	23.36416881	20.11804335
135.343796	21.83022525	19.60813009
135.5843489	20.29357098	19.09789984
135.8073772	18.75547821	18.58406246
136.0127415	17.21729772	18.06317257
136.2003475	15.68045075	17.53175721
136.3704323	14.14384091	16.99379106
136.5231881	12.60633703	16.45319421
136.6583273	11.07155261	15.90033133
136.7757017	9.54322786	15.32597488
136.8753072	8.025279372	14.7215536
136.957568	6.516884145	14.09113263
137.0228147	5.018565627	13.43522269
137.0713124	3.532979257	12.74959434
137.1033996	2.063688812	12.02880762
137.1195898	0.611295943	11.27403316
137.1204165	-0.821776262	10.48305374
137.1065235	-2.230845376	9.650217561
137.0787578	-3.609381304	8.768147948
137.0381783	-4.951677851	7.83231271
136.9859709	-6.253862178	6.842034206
136.9237342	-7.505681578	5.789388531
136.8530668	-8.702868429	4.675568374
136.7766371	-9.825804278	3.487513993
136.6981546	-10.84813804	2.212080493
136.6207728	-11.75885806	0.854796437
136.54959	-12.52462143	-0.589226404
136.4891558	-13.12319476	-2.11059404
136.4444217	-13.52706052	-3.695021321
136.4190512	-13.71911915	-5.319195278
136.4168862	-13.67283591	-6.953843348
136.4389703	-13.38063479	-8.562339709
136.4868457	-12.81578472	-10.09603512
136.5550013	-12.01341529	-11.51926552
136.6371801	-11.01011023	-12.80842717
136.7263455	-9.851988272	-13.9604823
136.8167421	-8.574587831	-14.978983
136.9036745	-7.206634663	-15.87268418
136.9836854	-5.767180888	-16.64723565
137.0537968	-4.281989368	-17.33147486
137.1123076	-2.765801174	-17.94539545
137.1570399	-1.226929173	-18.50132767
137.1842585	0.329659247	-19.00675367
137.1892998	1.927682643	-19.27058755
137.1704177	3.355498139	-18.53626518
