629	1
140.12644	-22.990893	6.092643
140.13792	-22.920791	6.092643
140.14937	-22.850684	6.092643
140.16079	-22.780571	6.092643
140.17216	-22.710452	6.092643
140.18351	-22.640327	6.092643
140.19482	-22.570197	6.092643
140.20609	-22.500061	6.092643
140.21733	-22.42992	6.092643
140.22853	-22.359773	6.092643
140.2397	-22.28962	6.092643
140.25083	-22.219462	6.092643
140.26193	-22.149298	6.092643
140.27299	-22.079129	6.092643
140.28402	-22.008954	6.092643
140.29501	-21.938774	6.092643
140.30597	-21.868588	6.092643
140.31689	-21.798397	6.092643
140.32778	-21.7282	6.092643
140.33863	-21.657998	6.092643
140.34945	-21.58779	6.092643
140.36023	-21.517577	6.092643
140.37098	-21.447359	6.092643
140.38169	-21.377135	6.092643
140.39236	-21.306906	6.092643
140.40301	-21.236671	6.092643
140.41361	-21.166432	6.092643
140.42418	-21.096187	6.092643
140.43472	-21.025936	6.092643
140.44522	-20.955681	6.092643
140.45568	-20.88542	6.092643
140.46612	-20.815154	6.092643
140.47651	-20.744883	6.092643
140.48687	-20.674606	6.092643
140.4972	-20.604324	6.092643
140.50749	-20.534038	6.092643
140.51774	-20.463746	6.092643
140.52796	-20.393449	6.092643
140.53814	-20.323146	6.092643
140.54829	-20.252839	6.092643
140.55841	-20.182527	6.092643
140.56849	-20.112209	6.092643
140.57853	-20.041887	6.092643
140.58854	-19.97156	6.092643
140.59851	-19.901227	6.092643
140.60845	-19.83089	6.092643
140.61835	-19.760547	6.092643
140.62822	-19.6902	6.092643
140.63805	-19.619848	6.092643
140.64785	-19.549491	6.092643
140.65761	-19.479129	6.092643
140.66734	-19.408762	6.092643
140.67703	-19.33839	6.092643
140.68669	-19.268013	6.092643
140.69631	-19.197632	6.092643
140.70589	-19.127246	6.092643
140.71544	-19.056855	6.092643
140.72496	-18.986459	6.092643
140.73444	-18.916058	6.092643
140.74389	-18.845653	6.092643
140.7533	-18.775243	6.092643
140.76267	-18.704828	6.092643
140.77201	-18.634409	6.092643
140.78131	-18.563985	6.092643
140.79058	-18.493556	6.092643
140.79982	-18.423123	6.092643
140.80902	-18.352685	6.092643
140.81818	-18.282243	6.092643
140.82731	-18.211796	6.092643
140.8364	-18.141344	6.092643
140.84546	-18.070888	6.092643
140.85448	-18.000427	6.092643
140.86347	-17.929962	6.092643
140.87242	-17.859492	6.092643
140.88134	-17.789018	6.092643
140.89022	-17.718539	6.092643
140.89906	-17.648056	6.092643
140.90787	-17.577569	6.092643
140.91665	-17.507077	6.092643
140.92539	-17.436581	6.092643
140.9341	-17.36608	6.092643
140.94277	-17.295575	6.092643
140.9514	-17.225066	6.092643
140.96	-17.154552	6.092643
140.96856	-17.084034	6.092643
140.97709	-17.013512	6.092643
140.98558	-16.942986	6.092643
140.99404	-16.872455	6.092643
141.00247	-16.80192	6.092643
141.01085	-16.731381	6.092643
141.01921	-16.660838	6.092643
141.02752	-16.59029	6.092643
141.03581	-16.519739	6.092643
141.04405	-16.449183	6.092643
141.05226	-16.378623	6.092643
141.06044	-16.308059	6.092643
141.06858	-16.237491	6.092643
141.07668	-16.166919	6.092643
141.08475	-16.096343	6.092643
141.09279	-16.025763	6.092643
141.10079	-15.955179	6.092643
141.10875	-15.88459	6.092643
141.11668	-15.813998	6.092643
141.12457	-15.743402	6.092643
141.13243	-15.672802	6.092643
141.14025	-15.602198	6.092643
141.14804	-15.53159	6.092643
141.15579	-15.460979	6.092643
141.16351	-15.390363	6.092643
141.17119	-15.319743	6.092643
141.17884	-15.24912	6.092643
141.18645	-15.178493	6.092643
141.19402	-15.107862	6.092643
141.20156	-15.037227	6.092643
141.20907	-14.966589	6.092643
141.21654	-14.895947	6.092643
141.22397	-14.825301	6.092643
141.23137	-14.754651	6.092643
141.23873	-14.683998	6.092643
141.24606	-14.613341	6.092643
141.25336	-14.54268	6.092643
141.26061	-14.472016	6.092643
141.26783	-14.401348	6.092643
141.27502	-14.330676	6.092643
141.28217	-14.260001	6.092643
141.28929	-14.189322	6.092643
141.29637	-14.11864	6.092643
141.30342	-14.047954	6.092643
141.31042	-13.977265	6.092643
141.3174	-13.906572	6.092643
141.32434	-13.835876	6.092643
141.33124	-13.765176	6.092643
141.33811	-13.694473	6.092643
141.34494	-13.623766	6.092643
141.35174	-13.553056	6.092643
141.3585	-13.482343	6.092643
141.36523	-13.411626	6.092643
141.37192	-13.340906	6.092643
141.37858	-13.270183	6.092643
141.3852	-13.199456	6.092643
141.39178	-13.128726	6.092643
141.39833	-13.057992	6.092643
141.40485	-12.987256	6.092643
141.41133	-12.916516	6.092643
141.41777	-12.845773	6.092643
141.42418	-12.775026	6.092643
141.43055	-12.704277	6.092643
141.43689	-12.633524	6.092643
141.44319	-12.562768	6.092643
141.44946	-12.492009	6.092643
141.45569	-12.421247	6.092643
